List,Vowel,Word,Speaker,Count,Vowel_Time,F1,F2
episode,ə,among,G,1,1.4455,765.8240328259053,1259.9342461893916
episode,ə,among,G,2,2.7056,602.1211268970548,1253.8183035177924
episode,ə,among,G,3,3.8477,733.3940359269562,1174.8214208262386
episode,ə,among,G,4,2.7804,766.3803401647293,1372.5902679129888
episode,ə,among,G,5,2.237,625.6511183019276,1259.7073701750057
episode,ə,among,L,1,1.8437,841.2799691002283,1286.269974650884
episode,ə,among,L,2,1.393,934.8738011617107,1228.9321049910302
episode,ə,among,L,3,0.9686,737.0541138774845,1226.7990436642988
episode,ə,among,L,4,0.2355,791.0105433036355,1353.5221978231045
episode,ə,among,L,5,4.8623,704.4508564375514,1207.6323440637411
episode,ʌ,another,G,1,2.135,641.8348588427718,1480.3201508783782
episode,ʌ,another,G,2,0.7037,775.0165003248087,1552.4077555448587
episode,ʌ,another,G,3,2.1226,527.7878813322108,1476.7225665029675
episode,ʌ,another,G,4,1.3386,652.3037647970418,1456.7824328816107
episode,ʌ,another,G,5,0.8354,806.2370561793613,1576.601815728518
episode,ʌ,another,L,1,1.9679,844.6139546144458,1344.7669033325406
episode,ʌ,another,L,2,1.5608,769.9997411075781,1314.317207125713
episode,ʌ,another,L,3,1.2305,773.9989688906763,1438.9312909399775
episode,ʌ,another,L,4,2.0649,741.6267612212608,1317.4808795361787
episode,ʌ,another,L,5,4.0195,834.754803607796,1402.0436607734812
episode,ɑ,ball,G,1,4.3589,706.2760404433553,932.6524751608415
episode,ɑ,ball,G,2,3.8218,635.8070084444538,1035.4140172509155
episode,ɑ,ball,G,3,3.0218,672.3060009879641,992.0847432332616
episode,ɑ,ball,G,4,2.748,513.0948844142954,753.0940719490034
episode,ɑ,ball,G,5,4.3913,611.197624850846,866.4237561317825
episode,ɑ,ball,L,1,1.9627,512.8020761948814,844.4344802335798
episode,ɑ,ball,L,2,2.0443,471.00369345950685,712.1581964973886
episode,ɑ,ball,L,3,2.6788,442.5441799366372,672.2679057977771
episode,ɑ,ball,L,4,3.2002,646.0944025173928,1077.127138213914
episode,ɑ,ball,L,5,2.2922,466.96821255823386,762.2821606035131
episode,æ,bang,G,1,2.1959,781.2732277054888,1911.596444997149
episode,æ,bang,G,2,2.5594,766.3785457169278,1884.5078923033573
episode,æ,bang,G,3,1.2251,755.018150973954,2089.278568821707
episode,æ,bang,G,4,1.7022,648.3668892905177,1856.428850675462
episode,æ,bang,L,1,3.6305,784.1411929729683,1733.2389768773078
episode,æ,bang,L,2,0.8968,989.1284653554646,1910.769117100207
episode,i,beat,G,1,1.045,368.96830956018596,2372.4995851681138
episode,i,beat,G,2,0.5387,355.02362702210013,2579.379659151967
episode,i,beat,G,3,2.7649,335.4895137524444,2475.7829314714013
episode,i,beat,G,4,4.3218,420.09484679065173,2439.7681994997643
episode,i,beat,G,5,0.93,355.04663907523775,2553.976555192999
episode,i,beat,L,1,0.8044,423.55627570133845,2729.5824792061053
episode,i,beat,L,2,1.8368,431.8995878217152,2814.6987695345497
episode,i,beat,L,3,0.1975,477.25746469726795,2508.061268589016
episode,i,beat,L,4,2.621,511.9900306885569,2650.0421318190242
episode,i,beat,L,5,3.6048,404.6456449766971,2629.765994814697
episode,i,believe,G,1,1.5101,395.5726125595244,2626.5198130125045
episode,i,believe,G,2,4.9335,428.08348242461693,2604.641196891902
episode,i,believe,G,3,1.387,344.4097959905162,2623.3645487868057
episode,i,believe,G,4,3.9325,326.1429599853079,2462.3711319723475
episode,i,believe,G,5,0.759,436.08515998428845,2519.511794014663
episode,i,believe,L,1,2.0539,503.200895516805,2455.8672605916336
episode,i,believe,L,2,0.6356,428.3724123850806,2240.384259849306
episode,i,believe,L,3,2.9447,407.43209955692254,2546.6527275861076
episode,i,believe,L,4,2.4113,425.15305015604844,2674.265546286134
episode,i,believe,L,5,3.1832,471.32234271579557,2332.0219650398476
episode,ɛ,bet,G,1,1.6684,881.8367673426085,1997.8310640064
episode,ɛ,bet,G,2,2.0718,572.1953846188661,1862.1585655093452
episode,ɛ,bet,G,3,4.5802,729.1647098411016,1942.5342098772053
episode,ɛ,bet,G,4,6.7112,678.2225146520182,1971.8208483015185
episode,ɛ,bet,G,5,4.159,562.3642880198079,1796.4804937220936
episode,ɛ,bet,L,1,2.7316,709.2713164226553,1980.0420737603135
episode,ɛ,bet,L,2,2.9795,661.8241422364964,2326.612072951599
episode,ɛ,bet,L,3,2.0879,654.0444967948952,1795.7794915195807
episode,ɛ,bet,L,4,4.2753,705.4265034084051,2094.8617791729225
episode,ɛ,bet,L,5,2.4019,803.3239304562908,2009.430391277621
episode,ɪ,bit,G,1,1.388,623.5182233587713,1886.4521946780026
episode,ɪ,bit,G,2,0.8269,482.5942176527037,1730.3572346110263
episode,ɪ,bit,G,3,1.1895,545.838973579934,1930.5960556349037
episode,ɪ,bit,G,4,0.7499,487.0065747973161,1771.8948026257938
episode,ɪ,bit,G,5,1.8806,519.0086743627918,1986.9793209360014
episode,ɪ,bit,L,1,1.6553,508.4630036488258,2038.4917529857814
episode,ɪ,bit,L,2,1.6175,503.7050307212937,2109.6491984123295
episode,ɪ,bit,L,3,2.1436,527.7993594312135,2212.147622671941
episode,ɪ,bit,L,4,1.1461,443.93991119796044,2396.812399299013
episode,ɪ,bit,L,5,0.7052,527.0606888151361,1960.5844644266422
episode,u,blue,G,1,2.008,415.4927756957248,1572.0172648219288
episode,u,blue,G,2,1.563,378.06873040940786,1856.5950602786002
episode,u,blue,G,3,1.6042,370.772865532158,1641.1147371082545
episode,u,blue,G,4,4.5247,355.86312462674414,1646.691945054028
episode,u,blue,G,5,2.7494,349.1820762272244,1350.2093090576911
episode,u,blue,L,1,1.7631,375.04410888144764,1895.7615245642792
episode,u,blue,L,2,2.5819,450.6523982291652,1928.5149180400815
episode,u,blue,L,3,1.1379,368.3741745789375,2044.3040343242858
episode,u,blue,L,4,1.308,345.5306379235102,2139.998177183519
episode,u,blue,L,5,1.8529,449.855820850215,1608.2518034006232
episode,ɔ,bought,G,1,1.4986,717.3025595660135,1164.572362772475
episode,ɔ,bought,G,2,2.3887,775.419100614258,1106.271981809429
episode,ɔ,bought,G,3,2.724,672.508152961967,1066.7952404750756
episode,ɔ,bought,G,4,5.2409,784.516384005234,1143.5946720770864
episode,ɔ,bought,G,5,0.5732,715.0195115473484,1213.5790261233792
episode,ɔ,bought,L,1,3.416,606.7627190977084,924.3193789825457
episode,ɔ,bought,L,2,0.3346,501.5570332197835,820.9025995756709
episode,ɔ,bought,L,3,0.4297,492.4684038564053,854.3445143324078
episode,ɔ,bought,L,4,0.5299,535.2988835872088,774.2225168241226
episode,ʌ,but,G,1,1.3462,685.9506692940669,1344.0156942120548
episode,ʌ,but,G,2,1.2356,598.937578773659,1718.6373670014248
episode,ʌ,but,G,3,1.5938,610.1598754975997,1498.5425383464526
episode,ʌ,but,G,4,1.3859,554.3670711604168,1677.2253794922362
episode,ʌ,but,G,5,2.4203,606.7759873133668,1508.2335382366896
episode,ʌ,but,L,1,1.589,819.7833520020339,1300.1937237476955
episode,ʌ,but,L,2,0.9295,527.871605463141,1577.8791824252216
episode,ʌ,but,L,3,1.8637,734.261231044354,1684.3674087983743
episode,ʌ,but,L,4,1.0442,530.7336326959369,1798.671828269093
episode,ʌ,but,L,5,1.5155,631.7303605778857,1708.1729061876335
episode,ɔ,core,G,1,3.6593,547.0687196694217,843.941498881244
episode,ɔ,core,G,2,0.6802,337.65622501468283,603.7296797101632
episode,ɔ,core,G,3,2.8061,441.56500757766736,895.2060450506458
episode,ɔ,core,G,4,3.0981,427.6890317750949,935.673684794429
episode,ɔ,core,G,5,1.7995,393.30884938168253,727.2025075213971
episode,ɔ,core,L,1,7.1419,494.6343238247624,676.5321610223485
episode,ɔ,core,L,2,3.0822,482.8899370088074,609.1399073462626
episode,ʊ,could,G,1,1.1224,402.42783198915555,1820.7948215959907
episode,ʊ,could,G,2,2.2667,511.1184092034549,1709.329978002426
episode,ʊ,could,G,3,2.0705,436.2415708347348,1577.1918375322703
episode,ʊ,could,G,4,0.6876,316.47871727660714,1889.679066419122
episode,ʊ,could,G,5,1.1981,475.2460173322982,1939.6968779945232
episode,ʊ,could,L,1,0.7149,480.2868851766661,1823.0417518380518
episode,ʊ,could,L,2,1.3538,439.740930138808,1848.2824850281297
episode,ʊ,could,L,3,2.0988,431.6042675958973,1613.5071388975616
episode,ʊ,could,L,4,5.046,410.4704495932138,1763.6460178360906
episode,ʊ,could,L,5,1.3023,468.76101516222747,2110.944183251133
episode,ə,famous,G,1,2.28,508.0762759545713,1867.2953705495754
episode,ə,famous,G,2,1.2283,514.3911184408147,1892.8169119509698
episode,ə,famous,G,3,4.1792,655.6604643742509,1843.6965353330309
episode,ə,famous,G,4,2.1808,572.5024081887141,1745.8303141475305
episode,ə,famous,G,5,1.4012,585.0343734719594,1718.5808139401104
episode,ə,famous,L,1,2.0694,607.3139286524863,1746.8608061394646
episode,ə,famous,L,2,2.1426,578.7766277536048,1656.303152203564
episode,ə,famous,L,3,5.6801,689.4128882179891,1770.2492243506629
episode,ə,famous,L,4,0.6512,714.8162683293888,1862.6156000256053
episode,ə,famous,L,5,2.4016,486.45561191423235,1797.8773140422586
episode,ɑ,father,G,1,1.1178,733.9773963321954,928.7293488014343
episode,ɑ,father,G,2,5.6428,727.5900579827869,899.5241293995315
episode,ɑ,father,G,3,3.1316,710.6852711089417,1149.312114748451
episode,ɑ,father,G,4,0.8234,728.9202625057054,893.8814484962496
episode,ɑ,father,G,5,1.7219,714.8767075445952,970.1959999795249
episode,ɑ,father,L,1,0.753,770.7200971266502,1287.1214327583787
episode,ɑ,father,L,2,0.1415,844.7708207735441,1277.9045757059416
episode,ɑ,father,L,3,0.0895,801.748260053388,1278.0924401071525
episode,ɑ,father,L,4,0.2919,806.8958127013155,1237.4435892537215
episode,ɑ,father,L,5,4.2462,840.3870438393749,1201.9208164493791
episode,ɪ,finish,G,1,1.1076,477.3123179235391,1874.5240938141476
episode,ɪ,finish,G,2,1.4687,504.20699166605397,1706.390222769419
episode,ɪ,finish,G,3,0.6978,436.4894898777423,1923.347472915891
episode,ɪ,finish,G,4,3.7094,397.1989475544065,2193.5320521342155
episode,ɪ,finish,G,5,0.0941,502.69010102825644,1674.6964806682786
episode,ɪ,finish,L,1,3.4578,511.38878694682563,2070.3979587839754
episode,ɪ,finish,L,2,5.4598,470.69389858558,2014.1872518248833
episode,ɪ,finish,L,3,2.3843,503.5106180561645,2193.9099608332504
episode,ɪ,finish,L,4,5.7608,464.2854320055349,2037.4562007815155
episode,ɪ,finish,L,5,2.1924,533.219060529367,1939.5856772411485
episode,ʊ,foot,G,1,1.1937,534.0464358321482,1136.1485696207194
episode,ʊ,foot,G,2,1.1595,572.2588129979374,1120.5293361431159
episode,ʊ,foot,G,3,1.0825,582.8054586660799,1197.3208363937672
episode,ʊ,foot,G,4,2.2816,488.15250071523917,1011.557729874956
episode,ʊ,foot,G,5,0.8317,404.3803296500824,1121.674958564855
episode,ʊ,foot,L,1,3.3347,499.33678932857885,1203.9692249775574
episode,ʊ,foot,L,2,4.6607,480.81867138123937,1141.695979258246
episode,ʊ,foot,L,3,1.1358,406.7831123095959,949.8114087063474
episode,ʊ,foot,L,4,1.3916,454.96468990239936,1151.0192720342898
episode,ʊ,foot,L,5,1.8632,503.8867273233992,982.1182495206949
episode,ʌ,fun,G,1,1.4825,755.9408906346443,1460.5746506919807
episode,ʌ,fun,G,2,1.9358,812.0111024959452,1420.5934177070208
episode,ʌ,fun,G,3,1.9023,648.6433536643511,1238.7735943009961
episode,ʌ,fun,G,4,1.1526,870.6886724246391,1475.9176254814502
episode,ʌ,fun,G,5,2.4664,733.6367155408494,1250.73490271182
episode,ʌ,fun,L,1,3.1031,768.738801371249,1321.4306082880923
episode,ʌ,fun,L,2,2.1028,739.4738010156943,1250.147544783989
episode,ʌ,fun,L,3,1.421,699.705802100303,1139.7559530605683
episode,ʌ,fun,L,4,1.5351,969.8325388626743,1334.633965768774
episode,ʌ,fun,L,5,2.1516,673.9259333237393,1151.18362116893
episode,ɛ,guest,G,1,0.4624,851.2847932062672,1755.204526995842
episode,ɛ,guest,G,2,0.9557,883.0143400424718,1703.7403668998832
episode,ɛ,guest,G,3,4.3833,731.1439761892511,1822.7724660871409
episode,ɛ,guest,G,4,1.0083,730.1535482758153,1749.828419296366
episode,ɛ,guest,G,5,2.5916,773.3209624567284,1739.5866862612402
episode,ɛ,guest,L,1,3.0779,794.2980803873878,1838.9483681239203
episode,æ,hand,G,1,1.3702,586.2518227723302,2069.186274631463
episode,æ,hand,G,2,2.5929,778.4588273396112,1808.307385882477
episode,æ,hand,G,3,2.5615,601.4673575718283,2168.006231083301
episode,æ,hand,G,4,4.0447,652.6449436509491,2063.551289817752
episode,æ,hand,G,5,5.204,719.1691381317078,2186.557454145318
episode,æ,hand,L,1,2.7,925.7786927011209,1910.8029464774404
episode,æ,hand,L,2,1.2545,993.1381945567789,2053.634379056414
episode,æ,hand,L,3,2.2472,868.2114784043591,1838.0470617037406
episode,æ,hand,L,4,7.0923,1014.9154213177007,2126.6299267128275
episode,æ,hand,L,5,2.8077,953.1551647593811,2114.8010095282457
episode,ɑ,honorific,G,1,3.503,752.4165356308479,961.1762032544789
episode,ɑ,honorific,G,2,1.9176,884.3490757582807,1192.8669860593186
episode,ɑ,honorific,G,3,4.6908,618.3965264364181,1017.3939572741212
episode,ɑ,honorific,G,4,4.4771,691.0474220537341,991.9653545688014
episode,ɑ,honorific,L,1,0.8424,737.2012725732059,1213.0204089006377
episode,ɑ,honorific,L,2,3.2616,671.5629469171473,978.9170470793288
episode,ɑ,honorific,L,3,4.7296,823.4878187153046,1331.198482023627
episode,ɑ,honorific,L,4,3.09,750.0614634512117,1346.7363473599546
episode,ɑ,honorific,L,5,2.1949,787.6130653093412,1226.0030905603603
episode,æ,laugh,G,1,1.1157,895.0228368887796,1447.7630041623117
episode,æ,laugh,G,2,2.9577,891.9034846395595,1527.84962158445
episode,æ,laugh,G,3,2.689,1141.3420683918148,1560.9602337281606
